word,translation
orderly,adj.有条理的
region,n.区域
federal,adj.联邦的
lack,n.缺乏，不足
objective,n.目的，目标
hut,n.棚屋
wholesome,adj.有益健康的
expression,n.表达
banner,n.横幅
entail,v.牵涉
stalk,v.跟踪
fertilizer,n.肥料
rip,v.撕裂
adjust,v.适应
friendly,adj.友好的
sun,n.太阳
charge,n.费用
communication,n.交流，沟通
shoe,n.鞋
magnet,n.磁铁
hesitate,v.犹豫，迟疑，顾虑
rubber,n.橡胶
boom,n.繁荣
for,prep.对
lawsuit,n.诉讼
spot,n.斑点
friend,n.朋友
fair,adj.合理的
sword,n.剑
grieve,v.感到悲痛
physics,n.物理学
neat,adj.整洁的
genre,n.（文学、艺术作品的）体裁，类型
throat,n.咽喉，喉咙
confirm,v.证实，确认
wheel,n.车轮，轮子
palace,n.宫殿
distress,n.忧虑
construct,v.建造
bad,adj.坏的
mushroom,n.蘑菇
nuclear,adj.原子核的，核能的
recruit,v.招募
turbulent,adj.动荡的，混乱的
enforce,v.强制执行
campaign,n.战役
primary,adj.首要的
nature,n.自然
Easter,n.复活节
currency,n.通货，货币
or,conj.或者
recipient,n.接受者
passport,n.护照
possibility,n.可能性
refuge,n.避难所，保护区
water,n.水，水域，水面，海域
successful,adj.成功的
weird,adj.奇异的，怪诞的，诡异的
endorse,v.公开支持
galaxy,n.星系
excellent,adj.优秀的，极好的
calm,adj.镇静的
bat,n.球拍，球棒
mischief,n.恶作剧
slip,v.滑倒
guilt,n.内疚
handwriting,n.笔迹，书法
temperature,n.温度，气温
sensitive,adj.体贴的
employee,n.雇员
legitimate,adj.合法的，正当的
shorthand,n.速记法
ought to,phrase.应该
pants,n.长裤
dissipate,v.消散
ore,n.矿石，矿砂
way,n.方法
corrode,v.腐蚀，侵蚀
rival,n.竞争者，对手
trouble,n.问题
symposium,n.专题讨论会，研讨会
much,adv.非常，很
desolate,adj.荒无人烟的
idiom,n.习语，成语
weak,adj.虚弱的
ticket,n.票，券
porter,n.搬运工人
detain,v.扣留，拘押
Saturday,n.星期六
then,adv.当时，到那时
chip,n.芯片
lay,v.放置
liable,adj.可能做…的
dam,n.水坝，堤坝
hybrid,n.杂交动物或植物
employment,n.职业
formulate,v.制定计划
circle,n.圆，圆形
brick,n.砖块
generator,n.发电机
turbine,n.涡轮机
determine,v.决心
rarely,adv.很少
gesture,n.手势
deal,v.处理
subsidy,n.补贴，津贴
leadership,n.领导地位
born,adj.天生的
brush,n.刷子
credit,n.信用
whirl,v.旋转，打转
thorough,adj.彻底的，全面的
beyond,adv.在另一边
saddle,n.马鞍
hydrogen,n.氢
poor,adj.贫穷的
adjective,n.形容词
bucket,n.桶
plane,adj.平的，平坦的
banana,n.香蕉
northeast,adj.东北部的，向东北的
worse,adj.更坏的，更糟的
sway,v.摇摆，摇动
youth,n.青年时期
impact,n.显著影响
raid,n.突袭
gasp,v.喘息，倒吸气
member,n.成员，会员，…的一分子
fancy,v.想要
commission,v.正式委托
ignore,v.不理睬，忽视
witness,n.目击者
hug,n.拥抱
